prompt,A,B,C,D,E,answer,category,Function
"다음은 2021년도 거주자 갑의 금융소득에 관한 자료이다. 종합과세할 배당소득금액은? (단, 원천징수는 적법하게 이루어졌으며 제시된 금액은원천징수 전의 금액이다. 주어진 자료 외의 사항은 고려하지 않음)
1. 내국법인 A가 이익잉여금을 자본전입함에 따라 지급받은 무상주의 액면가액 5,000,000원
2. 내국법인 B가 주식발행초과금을 자본전입함에 따라 지급받은 무상주의액면가액 6,000,000원(자기주식에 배정되지 못하여 재배정함에 따라 지분율이증가된 금액 2,000,000원 포함)
3. 소득세법 시행령 제26조의2제1항에 의한 집합투자기구(사모집합투자기구가 아님)로부터 받은 이익금 5,000,000원(증권시장에 상장된 제조업 영위내국법인 주식의 매매차익 2,000,000원 포함)
4. 국내은행으로부터 받은 이자 12,000,000원","8,220,000원","10,220,000원","10,550,000원","12,220,000원","22,220,000원",C,Income Tax Law,Calculate
"2021년도 거주자 갑의 기타소득과 관련된 자료는 다음과 같다. 종합과세할 기타소득금액은? (단, 원천징수는 적법하게 이루어졌으며 제시된 금액은원천징수 전의 금액이다. 주어진 자료 외의 사항은 고려하지 않음)
1. 주택입주 지체상금 수령액: 3,000,000원
2. 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률에 따른 공익사업과 관련하여 지상권을 대여함으로써 받은 금액: 15,000,000원
3. 과세대상이 되는 서화를 반복적으로 판매함으로써 얻은 소득: 200,000,000원(단, 이와 관련하여 사업장을 갖추거나 사업자등록을 하지는 않았으며, 서화의 보유기간은 10년 미만이다.)
4. 위 소득과 관련하여 확인된 필요경비는 없다.","3,600,000원","4,200,000원","6,600,000원","7,200,000원","36,600,000원",B,Income Tax Law,Calculate
근로소득에 관한 설명으로 옳지 않은 것은?,대기업의 종업원이 주택의 구입에 소요되는 자금을 무상으로 대여 받음으로써얻는이익은 근로소득에 포함된다.,공무원이 공무수행과 관련하여 국가로부터 받는 상금과 사기업체 종업원이 법에따라받는 직무발명보상금은 연 500만원까지 비과세한다.,"일용근로자가 아닌 근로자의 경우 총급여액에서 공제하는 근로소득공제는 연간 2,000 만원을 한도로 한다.",법인세법에 따라 처분된 인정상여의 귀속시기는 그 법인의 결산확정일이 아닌 근로자가 해당 사업연도 중 근로를 제공한 날로 한다.,근로를 제공하고 받은 대가라 하더라도 독립된 지위에서 근로를 제공하였다면그대가는 근로소득으로 보지 않는다.,A,Income Tax Law,Thoery
연금소득에 관한 설명으로 옳은 것은?,공적연금의 경우 2002.1.1.(과세기준일) 이후부터 과세로 전환되었으므로 연금수령액중 과세연금액은 ‘과세기준일 이후 기여금 납입월수’가 ‘총 기여금 납입월수’에서차지하는 비율에 따라서 분할하여 계산한다.,연금계좌에서 인출하는 금액이 연금수령요건을 충족한 경우 퇴직연금계좌 인출액이든연금저축계좌 인출액이든 연금소득공제를 적용한다.,사망할 때까지 연금수령하는 종신계약에 따라 받는 연금소득의 경우 3%의 원천징수세율을 적용한다.,연금계좌에서 일부 금액이 인출되는 경우 인출순서는 이연퇴직소득 → 과세제외금액 → 연금계좌세액공제를 받은 납입액과 운용수익 순서로 인출되는 것으로 한다.,이연퇴직소득을 연금수령하는 경우로서 실제수령연차가 10년을 초과하는 경우 원천징수세율은 연금외수령 원천징수세율의 60%가 된다.,D,Income Tax Law,Thoery
양도소득세의 과세대상이 아닌 것은?,지상권의 양도로 발생하는 소득,지역권의 양도로 발생하는 소득,등기된 부동산임차권의 양도로 발생하는 소득,한국토지주택공사 발행 주택상환사채의 양도로 발생하는 소득,가액을 별도로 평가하지 않고 토지ㆍ건물과 함께 양도하는 이축권(개발제한구역내의건축물을 법에 따른 취락지구 등으로 이축할 수 있는 권리)의 양도로 발생하는소득,B,Income Tax Law,Thoery
소득세법 제16조 제1항 제10호에서 규정하는 직장공제회 초과반환금에관한 설명으로 옳지 않은 것은?,소득세법령이 정하는 직장공제회 초과반환금은 이자소득에 해당한다.,과세대상이 되는 초과반환금에는 반환금에서 납입공제료를 뺀 금액인 “납입금 초과이익”만이 아니라 반환금 분할지급 시 발생하는 “반환금 추가이익”도 포함된다.,직장공제회 초과반환금은 종합소득 과세표준에 합산하지 않는다.,“납입금 초과이익”에 대한 산출세액은 소득세법 제63조 제1항에서 규정하는 방식(연분연승 방식)에 따른다.,“반환금 추가이익”에 대한 산출세액은 해당 추가이익에 금융소득에 대한 원천징수세율인 14%의 세율을 적용하여 계산한다.,C,Income Tax Law,Thoery
소득세법상 결손금 또는 이월결손금에 관한 설명으로 옳은 것은?,"사업소득금액을 계산할 때 발생한 결손금은 이자소득금액, 배당소득금액, 근로소득금액, 연금소득금액, 기타소득금액에서 순서대로 공제한다.",부동산임대업(주거용 건물 임대업 포함)에서 발생한 결손금은 종합소득 과세표준을계산할 때 공제하지 않는다.,부동산임대업을 제외한 일반업종 사업소득에서 발생한 결손금은 부동산임대업에서발생한 소득금액이 있는 경우에도 그 부동산임대업의 소득금액에서 공제하지 않는다.,"소득금액을 추계신고하는 경우에는 이월결손금 공제규정을 적용하지 않는다. 다만, 천재지변으로 장부가 멸실되어 추계신고를 하는 경우라면 이월결손금 공제규정을적용한다.",해당 과세기간 중 발생한 결손금과 이월결손금이 모두 존재하는 경우에는 이월결손금을 먼저 소득금액에서 공제한다.,D,Income Tax Law,Thoery
소득세법상 부당행위계산 부인에 관한 설명으로 옳지 않은 것은?,필요경비의 크기에 대하여 입증을 요구하지 않는 소득인 근로소득과 연금소득은부당행위계산 부인의 대상이 되는 소득으로 규정되어 있지 않다.,배당소득과 이자소득은 필요경비가 인정되지 않는 소득이다. 따라서 배당소득과이자소득 전체는 부당행위계산 부인의 대상이 되는 소득으로 규정되어 있지 않다.,과세표준의 계산과정이 세법의 규정대로 이루어지는 퇴직소득은 부당행위계산 부인의대상이 되는 소득으로 규정되어 있지 않다.,직계존비속에게 주택을 무상으로 사용하게 하고 직계존비속이 그 주택에 실제로거주하는 경우는 부당행위계산 부인의 대상에서 제외된다.,제조업 영위 개인사업자가 여유자금을 인출하여 부친에게 무상으로 대여한 경우에는부당행위계산 부인의 대상이 되지 않으나 부친으로부터 높은 이자율(시가의 2배)로사업자금을 차입하여 그 이자를 필요경비에 산입한 경우에는 부당행위계산 부인의대상이 된다.,B,Income Tax Law,Thoery
"다음은 2021년도 거주자 갑의 금융소득에 관한 자료이다. 종합과세할 배당소득금액은? (단, 원천징수는 적법하게 이루어졌으며 제시된 금액은원천징수 전의 금액이다. 주어진 자료 외의 사항은 고려하지 않음)
1. 내국법인 A가 이익잉여금을 자본전입함에 따라 지급받은 무상주의 액면가액 5,000,000원
2. 내국법인 B가 주식발행초과금을 자본전입함에 따라 지급받은 무상주의액면가액 6,000,000원(자기주식에 배정되지 못하여 재배정함에 따라 지분율이증가된 금액 2,000,000원 포함)
3. 소득세법 시행령 제26조의2 제1항에 의한 집합투자기구(사모집합투자기구가 아님)로 부터 받은 이익금 5,000,000원(증권시장에 상장된 제조업 영위내국법인 주식의 매매차익 2,000,000원 포함)
4. 국내은행으로부터 받은 이자 12,000,000원","8,220,000원","10,220,000원","10,550,000원","12,220,000원","22,220,000원",B,Income Tax Law,Calculate
"2021년도 거주자 갑의 기타소득과 관련된 자료는 다음과 같다. 종합과세할 기타소득금액은? (단, 원천징수는 적법하게 이루어졌으며 제시된 금액은원천징수 전의 금액이다. 주어진 자료 외의 사항은 고려하지 않음)
1. 주택입주 지체상금 수령액: 3,000,000원
2. 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률에 따른 공익사업과 관련하여 지상권을 대여함으로써 받은 금액: 15,000,000원
3. 과세대상이 되는 서화를 반복적으로 판매함으로써 얻은 소득: 200,000,000원(단, 이와 관련하여 사업장을 갖추거나 사업자등록을 하지는 않았으며, 서화의 보유기간은 10년 미만이다.)
4. 위 소득과 관련하여 확인된 필요경비는 없다.","3,600,000원","4,200,000원","6,600,000원","7,200,000원","36,600,000원",C,Income Tax Law,Calculate
근로소득에 관한 설명으로 옳지 않은 것은?,대기업의 종업원이 주택의 구입에 소요되는 자금을 무상으로 대여 받음으로써 얻는 이익은 근로소득에 포함된다.,공무원이 공무수행과 관련하여 국가로부터 받는 상금과 사기업체 종업원이 법에따라받는 직무발명보상금은 연 500만원까지 비과세한다.,"일용근로자가 아닌 근로자의 경우 총급여액에서 공제하는 근로소득공제는 연간 2,000만원을 한도로 한다.",법인세법에 따라 처분된 인정상여의 귀속시기는 그 법인의 결산확정일이 아닌 근로자가 해당 사업연도 중 근로를 제공한 날로 한다.,근로를 제공하고 받은 대가라 하더라도 독립된 지위에서 근로를 제공하였다면그대가는 근로소득으로 보지 않는다.,B,Income Tax Law,Thoery
"다음은 거주자 갑의 2022년 금융거래에서 발생한 소득 관련 자료이다. 갑의 종합소득금액에 합산할 이자소득금액과 배당소득금액의 합계액은? (단, 원천징수는 적법하게 이루어졌으며 제시된 금액은 원천징수 전의 금액이다. 주어진 자료 외의 다른 사항은 고려하지 않음)
1. 국내 상장법인으로부터 받은 현금배당: 8,000,000원
2. 공개시장에서 통합발행한 국채의 매각가액과 액면가액의 차액: 6,000,000원3. 국내은행으로부터 받은 정기예금이자: 3,000,000원
4. 외국법인이 발행한 채권의 이자: 7,000,000원
5. 비영업대금의 이익: 5,000,000원　
6. 법인과세 신탁재산으로부터 받는 배당금: 3,000,000원","23,330,000원","23,880,000원","26,660,000원","26,880,000원","32,880,000원",C,Income Tax Law,Calculate
"다음은 중소기업인 주식회사 A에 경리과장으로 근무하는 거주자갑의 2022년 근로소득 관련 자료이다. 갑의 소득세법상 총급여액은? (단, 갑은 주식회사 A의 발행주식총수의 2%의 주식을 소유하고 있다. 주어진 자료 외의 다른 사항은고려하지 않음)
1. 기본급과 상여: 50,000,000원
2. 시간외근무수당: 8,000,000원
3. 주식회사 A의 소유주택을 무상으로 제공받음으로써 얻은 이익: 5,000,000원4. 식사대: 2,400,000원 (월 200,000원×12개월, 주식회사 A로부터 식사 기타 음식물을 제공받지 않음)
5. 갑의 8세 아들의 보육과 관련하여 주식회사 A로부터 지급받은 보육수당: 1,200,000원(월 100,000원×12개월)
6. 발명진흥법에 따라 주식회사 A로부터 받은 직무발명보상금: 8,000,000원","60,400,000원","62,200,000원","63,400,000원","64,600,000원","68,400,000원",C,Income Tax Law,Calculate
소득세법령상 납세의무 등에 관한 설명으로 옳지 않은 것은?,비거주자는 국내에 거소를 둔 기간이 183일이 되는 날에 거주자가 된다.,비거주자는 법령에 따른 납세지가 변경된 경우 변경된 날부터 15일 이내에 그변경후의 납세지 관할 세무서장에게 신고하여야 한다.,거주자의 사업소득에 대한 소득세 납세지는 주된 사업장 소재지로 한다.,신탁재산에 귀속되는 소득의 수익자가 특별히 정하여지지 아니한 경우에는 그 신탁재산에 귀속되는 소득은 위탁자에게 귀속되는 것으로 본다.,거주기간을 계산할 경우 국내에 거소를 둔 기간은 입국하는 날의 다음날부터 출국하는날까지로 한다.,C,Income Tax Law,Thoery
소득세법령상 양도소득에 관한 설명으로 옳은 것은?,도시개발법에 따른 환지처분으로 지목이 변경되는 경우는 양도로 본다.,국가가 시행하는 사업으로 인하여 교환하는 농지로서 교환하는 쌍방 토지가액의 차액이가액이 큰 편의 1/5인 농지의 교환으로 발생하는 소득은 양도소득세가 비과세된다.,파산선고에 의한 처분으로 발생하는 소득은 양도소득세가 과세된다.,취득에 관한 쟁송이 있는 자산에 대하여 그 소유권을 확보하기 위하여 직접 소요된소송비용으로서 그 지출한 연도의 각 종합소득금액의 계산에 있어서 필요경비에산입된 것은 양도차익 계산시 공제된다.,양도소득세 과세대상인 신탁 수익권을 양도한 경우 양도일이 속하는 반기의 말일부터 2개월 이내에 양도소득과세표준을 신고해야 한다.,B,Income Tax Law,Thoery
소득세법령상 과세표준의 확정신고와 납부에 관한 설명으로 옳은 것은?,공적연금소득만 있는 거주자는 해당 소득에 대해 과세표준확정신고를 해야 한다.,과세표준확정신고를 하여야 할 거주자가 출국하는 경우에는 출국일이 속하는 과세기간의 과세표준을 출국일 전날까지 신고하여야 한다.,해당 과세기간의 종합소득금액이 있는 거주자가 종합소득과세표준이 없는 경우에는 종합소득 과세표준 확정신고 의무가 없다.,세무사가 성실신고확인대상사업자에 해당하는 경우에도 자신의 사업소득금액의적정성에 대하여 해당 세무사가 성실신고확인서를 작성ㆍ제출할 수 있다.,거주자로서 과세표준의 확정신고에 따라 납부할 세액이 1천8백만원인 자는 9백만원을납부기한이 지난 후 90일 이내에 분납할 수 있다.,B,Income Tax Law,Thoery
소득세법령상 원천징수에 관한 설명으로 옳지 않은 것은?,일용근로자의 근로소득에 대한 원천징수세율은 100분의 6으로 한다.,근로소득을 지급하여야 할 원천징수의무자가 1월부터 11월까지의 근로소득을 해당과세기간의 12월 31일까지 지급하지 아니한 경우에는 그 근로소득을 12월 31일에지급한 것으로 보아 소득세를 원천징수한다.,법인이 합병한 경우에 합병으로 설립된 법인은 합병으로 소멸된 법인이 원천징수를하여야 할 소득세를 납부하지 아니하면 그 소득세에 대한 납세의무를 진다.,연말정산 사업소득을 지급하는 원천징수의무자는 연말정산일이 속하는 달의 다음달말일까지 원천징수영수증을 해당 사업자에게 발급하여야 한다.,법령으로 정하는 봉사료에 대한 원천징수세율은 10/100으로 한다.,E,Income Tax Law,Thoery
소득세법령상 사업소득의 수입시기에 관한 설명으로 옳지 않은것은?,제품의 판매: 그 제품을 인도한 날,제품의 위탁판매: 수탁자가 그 위탁품을 판매한 날,무인판매기에 의한 판매: 당해 사업자가 무인판매기에서 현금을 인출하는 때,한국표준산업분류상의 금융보험업에서 발생하는 이자: 결산을 확정할 때 이자를수익으로 계상한 날,"어음의 할인: 그 어음의 만기일로 하되, 만기 전에 그 어음을 양도하는 때에는 그 양도일",D,Income Tax Law,Thoery
소득세법령상 퇴직소득에 관한 설명으로 옳은 것은?,종교관련종사자가 현실적인 퇴직을 원인으로 종교단체로부터 지급받는 소득은 퇴직소득에 해당한다.,과학기술인공제회법 제16조 제1항 제3호에 따라 지급받는 과학기술발전장려금은퇴직소득에 해당하지 않는다.,계속근로기간 중에 근로자퇴직급여보장법에 따라 퇴직연금제도가 폐지되어퇴직급여를 미리 지급받는 경우에도 그 지급받은 날에 퇴직한 것으로 보지 않는다.,거주자의 퇴직소득금액에 국외원천소득이 합산되어 있는 경우로서 외국에서 납부한외국소득세액이 퇴직소득산출세액에서 공제할 수 있는 한도금액을 초과하는 경우그초과하는 금액은 이월공제기간으로 이월하여 그 이월된 과세기간의 공제한도금액내에서 공제받을 수 있다.,국민연금법에 따라 받는 일시금으로써 2001년 12월 31일 이전에 납입된 연금기여금 및 사용자부담금을 기초로 하여 받은 일시금은 퇴직소득에 해당한다.,A,Income Tax Law,Thoery
"거주자 갑의 2024년 금융거래 관련 자료이다. 갑의 종합소득금액에 합산할 소득세법령상 이자소득금액과 배당소득금액의 합계액은? (단, 원천징수가 필요한 경우 원천징수는 적법하게 이루어졌으며, 제시된 금액은 원천징수 전의 금액이다. 주어진 자료 외의 다른 사항은 고려하지 않음)

1. 국내은행으로부터 예금이자 5,000,000원을 지급받았다.
2. 대통령령으로 정하는 국내 공모투자신탁 환매이익 12,000,000원(회사채 양 도차손 3,000,000원, 코스닥시장 상장법인주식 양도차익 10,000,000원, 비상 장법인주식 양도차익 5,000,000원으로 구성됨)이 발생하였다. 환매이익은 투자신탁이 직접 취득한 자산의 거래나 평가로 발생한 것이다.
3. 장내파생상품인 KOSPI200선물의 거래로 10,000,000원의 이익이 발생하였다.
4. 대통령령으로 정하는 파생결합사채에서 6,000,000원의 이익이 발생하였다.
5. 유가증권시장 상장법인으로부터 현금배당금 15,000,000원을 지급받았다.
6. 2018년에 가입한 저축성보험(종신형 연금보험 아님)에서 만기보험금 50,000,000원을 일시금으로 수령하였다. 갑이 납입한 총 보험료는 40,000,000원이다.","28,800,000원","38,000,000원","39,500,000원","48,000,000원","49,500,000원",C,Income Tax Law,Calculate
"거주자 갑(나이 60세)의 2024년 연금소득 관련 자료이다. 갑의 소득 세법령상 연금소득에 대한 원천징수세액은?

1. 2017.10.1.에 금융회사의 연금저축계좌에 가입한 후 2023.9.30.까지 6년간 매 월 연금보험료를 납입하였다. 연금보험료 총납입액은 50,000,000원이며, 총 납입액 중 연금계좌세액공제를 받지 아니한 금액은 5,500,000원이다.
2. 2024.1.1.에 연금수령개시를 신청하였고, 2024년 연금저축계좌에서 연금으로 인출한 금액은 18,000,000원으로 의료목적, 천재지변이나 그 밖에 부득이한 사유등 대통령령으로 정하는 요건을 갖추어 인출한 것은 아니다.
3. 연금수령개시 신청일 현재 연금저축계좌의 평가액은 70,000,000원이며, 평가 액 중 운용수익은 20,000,000원이다.
4. 갑의 연금저축계좌는 대통령령으로 정하는 연금계좌 등 요건을 충족하고 있 으며, 종신형 연금저축계좌는 아니다.
5. 주어진 자료 외의 다른 사항은 고려하지 않는다.","250,000원","525,000원","625,000원","750,000원","1,875,000원",A,Income Tax Law,Calculate
소득세법령상 이자소득과 배당소득의 수입시기에 관한 설명으로 옳지 않은 것은?,잉여금의 처분에 의한 배당: 당해 법인의 과세기간 종료일,통지예금의 이자: 인출일,저축성보험의 보험차익: 보험금 또는 환급금의 지급일(기일전에 해지하는 경우에는 그 해지일),무기명주식의 이익이나 배당: 그 지급을 받은 날,"법인세법에 의하여 처분된 배당: 당해 법인의 당해 사업연도의 결산확정일
",A,Income Tax Law,Thoery
소득세법령상 납세지에 관한 설명으로 옳지 않은 것은?,"거주자의 소득세 납세지는 그 주소지로 하되, 주소지가 없는 경우에는 그 거소지로 한다.",납세조합이 그 조합원의 사업소득에 대한 소득세를 징수하는 경우 그 소득세의 납세 지는 그 납세조합의 소재지로 한다.,비거주자가 납세관리인을 둔 경우 그 비거주자의 소득세 납세지는 그 국내사업장의 소재지 또는 그 납세관리인의 주소지나 거소지 중 납세관리인이 대통령령으로 정하는 바에 따라 그 관할 세무서장에게 납세지로서 신고하는 장소로 한다.,국내에 주소가 없는 공무원의 소득세 납세지는 그 가족의 생활근거지 또는 소속기관 의 소재지로 한다.,거주자는 납세지가 변경된 경우에는 변경된 날부터 30일 이내에 그 변경 전의 납세지 관할 세무서장에게 신고하여야 한다.,E,Income Tax Law,Thoery
